cells	label
TTC166-0407	T
TTC167-0407	T
TTC170-0407	T
TTC172-0407	T
TTC173-0407	T
TTC175-0407	T
TTC183-0407	T
TTC185-0407	T
TTC188-0407	T
TTC189-0407	T
TTC19-0407	T
TTC21-0407	T
TTC22-0407	T
TTC25-0407	T
TTC29-0407	T
TTC3-0407	T
TTC33-0407	T
TTC36-0407	T
TTC39-0407	T
TTC4-0407	T
TTC41-0407	T
TTC43-0407	T
TTC44-0407	T
TTC50-0407	T
TTC5-0407	T
TTC51-0407	T
TTC52-0407	T
TTC53-0407	T
TTC55-0407	T
TTC60-0407	T
TTC62-0407	T
TTC64-0407	T
TTC65-0407	T
TTC68-0407	T
TTC69-0407	T
TTC7-0407	T
TTC73-0407	T
TTC76-0407	T
TTC83-0407	T
TTC84-0407	T
TTC90-0407	T
TTC92-0407	T
TTC93-0407	T
TTC94-0407	T
TTC97-0407	T
TTC98-0407	T
NTC11-0508	N
NTC1-4-0508	N
NTC1-6-0508	N
NTC16-0508	N
NTC1-8-0508	N
NTC18-0508	N
NTC2-10-0508	N
NTC2-12-0508	N
NTC2-15-0508	N
NTC2-18-0508	N
NTC2-19-0508	N
NTC2-20-0508	N
NTC2-23-0508	N
NTC2-24-0508	N
NTC2-28-0508	N
NTC2-3-0508	N
NTC2-32-0508	N
NTC2-33-0508	N
NTC2-38-0508	N
NTC2-39-0508	N
NTC2-41-0508	N
NTC2-45-0508	N
NTC2-46-0508	N
NTC2-5-0508	N
NTC25-0508	N
NTC2-52-0508	N
NTC2-53-0508	N
NTC2-58-0508	N
NTC2-59-0508	N
NTC2-60-0508	N
NTC2-62-0508	N
NTC2-64-0508	N
NTC2-7-0508	N
NTC27-0508	N
NTC2-8-0508	N
NTC29-0508	N
NTC2-95-0508	N
NTC2-96-0508	N
NTC36-0508	N
NTC43-0508	N
NTC45-0508	N
NTC51-0508	N
NTC56-0508	N
NTC9-0508	N
PTC12-0508	P
PTC13-0508	P
PTC1-7-0508	P
PTC18-0508	P
PTC2-27-0508	P
PTC2-50-0508	P
PTC2-65-0508	P
PTC2-70-0508	P
PTC2-9-0508	P
PTC36-0508	P
TTC1-1-0508	T
TTC1-6-0508	T
TTC1-7-0508	T
TTC2-21-0508	T
TTC2-31-0508	T
TTC2-32-0508	T
TTC2-33-0508	T
TTC2-35-0508	T
TTC2-36-0508	T
TTC2-39-0508	T
TTC2-43-0508	T
TTC2-45-0508	T
TTC2-48-0508	T
TTC25-0508	T
TTC2-51-0508	T
TTC2-52-0508	T
TTC2-53-0508	T
TTC2-56-0508	T
TTC2-57-0508	T
TTC2-6-0508	T
TTC26-0508	T
TTC2-63-0508	T
TTC2-67-0508	T
TTC2-74-0508	T
TTC2-8-0508	T
TTC28-0508	T
TTC2-82-0508	T
TTC2-84-0508	T
TTC2-91-0508	T
TTC31-0508	T
TTC33-0508	T
TTC49-0508	T
TTC51-0508	T
TTC55-0508	T
TTC56-0508	T
TTC61-0508	T
TTC66-0508	T
TTC67-0508	T
TTC68-0508	T
TTC74-0508	T
TTC88-0508	T
TTC91-0508	T
TTC96-0508	T
NTC101-1116	N
NTC103-1116	N
NTC106-1116	N
NTC108-1116	N
NTC110-1116	N
NTC113-1116	N
NTC114-1116	N
NTC115-1116	N
NTC116-1116	N
NTC118-1116	N
NTC119-1116	N
NTC121-1116	N
NTC124-1116	N
NTC125-1116	N
NTC129-1116	N
NTC130-1116	N
NTC132-1116	N
NTC133-1116	N
NTC134-1116	N
NTC135-1116	N
NTC137-1116	N
NTC139-1116	N
NTC140-1116	N
NTC143-1116	N
NTC144-1116	N
NTC148-1116	N
NTC149-1116	N
NTC150-1116	N
NTC151-1116	N
NTC153-1116	N
NTC154-1116	N
NTC155-1116	N
NTC157-1116	N
NTC158-1116	N
NTC160-1116	N
NTC162-1116	N
NTC165-1116	N
NTC166-1116	N
NTC167-1116	N
NTC168-1116	N
NTC170-1116	N
NTC172-1116	N
NTC173-1116	N
NTC174-1116	N
NTC177-1116	N
NTC178-1116	N
NTC179-1116	N
NTC180-1116	N
NTC181-1116	N
NTC184-1116	N
NTC186-1116	N
NTC189-1116	N
NTC191-1116	N
NTC192-1116	N
NTC99-1116	N
PTC113-1116	P
PTC115-1116	P
PTC122-1116	P
PTC148-1116	P
PTC153-1116	P
PTC179-1116	P
TTC102-1116	T
TTC106-1116	T
TTC110-1116	T
TTC11-1116	T
TTC114-1116	T
TTC116-1116	T
TTC118-1116	T
TTC119-1116	T
TTC120-1116	T
TTC121-1116	T
TTC126-1116	T
TTC128-1116	T
TTC131-1116	T
TTC133-1116	T
TTC138-1116	T
TTC140-1116	T
TTC142-1116	T
TTC145-1116	T
TTC147-1116	T
TTC149-1116	T
TTC16-1116	T
TTC18-1116	T
TTC22-1116	T
TTC27-1116	T
TTC31-1116	T
TTC3-1116	T
TTC4-1116	T
TTC42-1116	T
TTC5-1116	T
TTC54-1116	T
TTC55-1116	T
TTC61-1116	T
TTC6-1116	T
TTC64-1116	T
TTC65-1116	T
TTC66-1116	T
TTC7-1116	T
TTC77-1116	T
TTC84-1116	T
TTC85-1116	T
TTC87-1116	T
TTC93-1116	T
PTH100-0205	P
PTH10-0205	P
PTH104-0205	P
PTH105-0205	P
PTH106-0205	P
PTH108-0205	P
PTH11-0205	P
PTH117-0205	P
PTH118-0205	P
PTH121-0205	P
PTH123-0205	P
PTH125-0205	P
PTH13-0205	P
PTH131-0205	P
PTH137-0205	P
PTH138-0205	P
PTH139-0205	P
PTH141-0205	P
PTH142-0205	P
PTH144-0205	P
PTH16-0205	P
PTH21-0205	P
PTH22-0205	P
PTH240-0205	P
PTH27-0205	P
PTH31-0205	P
PTH35-0205	P
PTH39-0205	P
PTH41-0205	P
PTH42-0205	P
PTH43-0205	P
PTH44-0205	P
PTH46-0205	P
PTH47-0205	P
PTH49-0205	P
PTH53-0205	P
PTH54-0205	P
PTH57-0205	P
PTH64-0205	P
PTH65-0205	P
PTH66-0205	P
PTH68-0205	P
PTH69-0205	P
PTH70-0205	P
PTH71-0205	P
PTH73-0205	P
PTH74-0205	P
PTH75-0205	P
PTH77-0205	P
PTH78-0205	P
PTH79-0205	P
PTH85-0205	P
PTH90-0205	P
PTH92-0205	P
PTH94-0205	P
PTH97-0205	P
PTH99-0205	P
PTS100-0205	P
PTS10-0205	P
PTS104-0205	P
PTS105-0205	P
PTS106-0205	P
PTS113-0205	P
PTS114-0205	P
PTS116-0205	P
PTS119-0205	P
PTS121-0205	P
PTS122-0205	P
PTS124-0205	P
PTS128-0205	P
PTS129-0205	P
PTS13-0205	P
PTS131-0205	P
PTS132-0205	P
PTS133-0205	P
PTS134-0205	P
PTS135-0205	P
PTS139-0205	P
PTS140-0205	P
PTS142-0205	P
PTS15-0205	P
PTS19-0205	P
PTS21-0205	P
PTS22-0205	P
PTS226-0205	P
PTS23-0205	P
PTS24-0205	P
PTS246-0205	P
PTS26-0205	P
PTS290-0205	P
PTS29-0205	P
PTS30-0205	P
PTS3-0205	P
PTS40-0205	P
PTS41-0205	P
PTS42-0205	P
PTS44-0205	P
PTS45-0205	P
PTS46-0205	P
PTS48-0205	P
PTS50-0205	P
PTS51-0205	P
PTS53-0205	P
PTS54-0205	P
PTS57-0205	P
PTS6-0205	P
PTS62-0205	P
PTS63-0205	P
PTS66-0205	P
PTS67-0205	P
PTS7-0205	P
PTS71-0205	P
PTS73-0205	P
PTS74-0205	P
PTS75-0205	P
PTS80-0205	P
PTS83-0205	P
PTS84-0205	P
PTS86-0205	P
PTS87-0205	P
PTS90-0205	P
PTS91-0205	P
PTS92-0205	P
PTS94-0205	P
PTS98-0205	P
TTH90-0205	T
NTH106-0322	N
NTH113-0322	N
NTH122-0322	N
NTH15-0322	N
NTH151-0322	N
NTH157-0322	N
NTH160-0322	N
NTH179-0322	N
NTH184-0322	N
NTH187-0322	N
NTH190-0322	N
NTH23-0322	N
NTH4-0322	N
NTH98-0322	N
PTH10-0322	P
PTH101-0322	P
PTH103-0322	P
PTH1-0322	P
PTH104-0322	P
PTH105-0322	P
PTH106-0322	P
PTH107-0322	P
PTH108-0322	P
PTH117-0322	P
PTH119-0322	P
PTH121-0322	P
PTH123-0322	P
PTH125-0322	P
PTH127-0322	P
PTH128-0322	P
PTH135-0322	P
PTH136-0322	P
PTH137-0322	P
PTH139-0322	P
PTH14-0322	P
PTH142-0322	P
PTH144-0322	P
PTH147-0322	P
PTH149-0322	P
PTH151-0322	P
PTH156-0322	P
PTH157-0322	P
PTH158-0322	P
PTH159-0322	P
PTH160-0322	P
PTH16-0322	P
PTH161-0322	P
PTH166-0322	P
PTH168-0322	P
PTH17-0322	P
PTH185-0322	P
PTH186-0322	P
PTH189-0322	P
PTH190-0322	P
PTH24-0322	P
PTH30-0322	P
PTH3-0322	P
PTH31-0322	P
PTH34-0322	P
PTH37-0322	P
PTH38-0322	P
PTH4-0322	P
PTH45-0322	P
PTH46-0322	P
PTH5-0322	P
PTH97-0322	P
PTH98-0322	P
PTR104-0322	P
PTR111-0322	P
PTR112-0322	P
PTR13-0322	P
PTR26-0322	P
PTR30-0322	P
PTR33-0322	P
PTR36-0322	P
PTR39-0322	P
PTR49-0322	P
PTR50-0322	P
PTR51-0322	P
PTR53-0322	P
PTR56-0322	P
PTR58-0322	P
PTR62-0322	P
PTR69-0322	P
PTR70-0322	P
PTR71-0322	P
PTR80-0322	P
PTR8-0322	P
PTR89-0322	P
TTH101-0322	T
TTH107-0322	T
TTH127-0322	T
TTH132-0322	T
TTH153-0322	T
TTH172-0322	T
TTH184-0322	T
TTH192-0322	T
TTH2-0322	T
TTH50-0322	T
TTH67-0322	T
TTH95-0322	T
TTR102-0322	T
TTR23-0322	T
TTR32-0322	T
NTH100-0407	N
NTH116-0407	N
NTH129-0407	N
NTH138-0407	N
NTH166-0407	N
NTH194-0407	N
NTR1-0407	N
NTR12-0407	N
NTR14-0407	N
NTR16-0407	N
NTR33-0407	N
NTR55-0407	N
NTR59-0407	N
NTR60-0407	N
NTR6-0407	N
NTR73-0407	N
NTR76-0407	N
PTH100-0407	P
PTH102-0407	P
PTH104-0407	P
PTH105-0407	P
PTH106-0407	P
PTH107-0407	P
PTH109-0407	P
PTH110-0407	P
PTH111-0407	P
PTH14-0407	P
PTH15-0407	P
PTH16-0407	P
PTH18-0407	P
PTH19-0407	P
PTH20-0407	P
PTH21-0407	P
PTH23-0407	P
PTH24-0407	P
PTH26-0407	P
PTH29-0407	P
PTH31-0407	P
PTH33-0407	P
PTH34-0407	P
PTH35-0407	P
PTH38-0407	P
PTH39-0407	P
PTH40-0407	P
PTH4-0407	P
PTH41-0407	P
PTH42-0407	P
PTH44-0407	P
PTH47-0407	P
PTH50-0407	P
PTH51-0407	P
PTH52-0407	P
PTH53-0407	P
PTH55-0407	P
PTH59-0407	P
PTH61-0407	P
PTH65-0407	P
PTH66-0407	P
PTH68-0407	P
PTH69-0407	P
PTH70-0407	P
PTH71-0407	P
PTH72-0407	P
PTH73-0407	P
PTH75-0407	P
PTH77-0407	P
PTH78-0407	P
PTH79-0407	P
PTH80-0407	P
PTH81-0407	P
PTH85-0407	P
PTH86-0407	P
PTH87-0407	P
PTH91-0407	P
PTH93-0407	P
PTH95-0407	P
PTH97-0407	P
PTR100-0407	P
PTR101-0407	P
PTR102-0407	P
PTR103-0407	P
PTR104-0407	P
PTR109-0407	P
PTR11-0407	P
PTR112-0407	P
PTR12-0407	P
PTR15-0407	P
PTR23-0407	P
PTR26-0407	P
PTR27-0407	P
PTR28-0407	P
PTR29-0407	P
PTR30-0407	P
PTR3-0407	P
PTR34-0407	P
PTR35-0407	P
PTR43-0407	P
PTR44-0407	P
PTR49-0407	P
PTR50-0407	P
PTR5-0407	P
PTR53-0407	P
PTR54-0407	P
PTR56-0407	P
PTR58-0407	P
PTR59-0407	P
PTR65-0407	P
PTR66-0407	P
PTR68-0407	P
PTR69-0407	P
PTR7-0407	P
PTR71-0407	P
PTR72-0407	P
PTR73-0407	P
PTR74-0407	P
PTR77-0407	P
PTR83-0407	P
PTR84-0407	P
PTR89-0407	P
PTR9-0407	P
PTR91-0407	P
PTR93-0407	P
PTR95-0407	P
PTR96-0407	P
PTR98-0407	P
PTR99-0407	P
TTH1-0407	T
TTH108-0407	T
TTH11-0407	T
TTH119-0407	T
TTH123-0407	T
TTH132-0407	T
TTH151-0407	T
TTH163-0407	T
TTH169-0407	T
TTH70-0407	T
TTH72-0407	T
TTH91-0407	T
TTH99-0407	T
TTR116-0407	T
TTR129-0407	T
TTR136-0407	T
TTR142-0407	T
TTR157-0407	T
TTR158-0407	T
TTR160-0407	T
TTR166-0407	T
TTR169-0407	T
TTR171-0407	T
TTR174-0407	T
TTR175-0407	T
TTR189-0407	T
TTR202-0407	T
TTR224-0407	T
TTR231-0407	T
TTR238-0407	T
TTR97-0407	T
NTH1-7-0508	N
NTH1-8-0508	N
NTH2-3-0508	N
NTH2-35-0508	N
NTH2-43-0508	N
NTH2-46-0508	N
NTH2-54-0508	N
NTH2-60-0508	N
NTH2-74-0508	N
NTH2-85-0508	N
NTH2-95-0508	N
PTH10-0508	P
PTH1-1-0508	P
PTH11-0508	P
PTH13-0508	P
PTH15-0508	P
PTH1-6-0508	P
PTH16-0508	P
PTH1-7-0508	P
PTH1-8-0508	P
PTH18-0508	P
PTH19-0508	P
PTH20-0508	P
PTH2-1-0508	P
PTH23-0508	P
PTH2-4-0508	P
PTH25-0508	P
PTH2-6-0508	P
PTH2-7-0508	P
PTH27-0508	P
PTH29-0508	P
PTH31-0508	P
PTH3-14-0508	P
PTH3-18-0508	P
PTH32-0508	P
PTH3-21-0508	P
PTH3-22-0508	P
PTH3-24-0508	P
PTH3-25-0508	P
PTH3-27-0508	P
PTH3-28-0508	P
PTH3-29-0508	P
PTH3-31-0508	P
PTH3-33-0508	P
PTH3-34-0508	P
PTH3-38-0508	P
PTH3-39-0508	P
PTH3-46-0508	P
PTH35-0508	P
PTH3-52-0508	P
PTH3-54-0508	P
PTH3-56-0508	P
PTH3-58-0508	P
PTH3-59-0508	P
PTH3-60-0508	P
PTH3-61-0508	P
PTH3-62-0508	P
PTH3-64-0508	P
PTH3-66-0508	P
PTH3-67-0508	P
PTH3-68-0508	P
PTH3-70-0508	P
PTH3-7-0508	P
PTH37-0508	P
PTH3-71-0508	P
PTH3-72-0508	P
PTH3-73-0508	P
PTH3-76-0508	P
PTH3-78-0508	P
PTH38-0508	P
PTH3-82-0508	P
PTH3-85-0508	P
PTH3-86-0508	P
PTH3-89-0508	P
PTH39-0508	P
PTH3-91-0508	P
PTH3-92-0508	P
PTH3-93-0508	P
PTH3-94-0508	P
PTH3-95-0508	P
PTH3-96-0508	P
PTH40-0508	P
PTH9-0508	P
PTR10-0508	P
PTR11-0508	P
PTR12-0508	P
PTR13-0508	P
PTR15-0508	P
PTR17-0508	P
PTR19-0508	P
PTR22-0508	P
PTR23-0508	P
PTR9-0508	P
PTS1-3-0508	P
PTS1-4-0508	P
PTS1-5-0508	P
PTS1-6-0508	P
PTS1-7-0508	P
PTS2-1-0508	P
PTS2-2-0508	P
PTS2-3-0508	P
PTS2-8-0508	P
PTS3-11-0508	P
PTS3-13-0508	P
PTS3-14-0508	P
PTS3-15-0508	P
PTS3-16-0508	P
PTS3-22-0508	P
PTS3-24-0508	P
PTS3-26-0508	P
PTS3-27-0508	P
PTS3-3-0508	P
PTS3-31-0508	P
PTS3-33-0508	P
PTS3-37-0508	P
PTS3-40-0508	P
PTS3-44-0508	P
PTS3-45-0508	P
PTS3-46-0508	P
PTS3-47-0508	P
PTS3-51-0508	P
PTS3-53-0508	P
PTS3-54-0508	P
PTS3-59-0508	P
PTS3-63-0508	P
PTS3-66-0508	P
PTS3-67-0508	P
PTS3-68-0508	P
PTS3-71-0508	P
PTS3-75-0508	P
PTS3-76-0508	P
PTS3-77-0508	P
PTS3-78-0508	P
PTS3-79-0508	P
PTS3-82-0508	P
PTS3-83-0508	P
PTS3-85-0508	P
PTS3-90-0508	P
PTS3-9-0508	P
PTS3-91-0508	P
PTS3-93-0508	P
PTS3-94-0508	P
PTS3-95-0508	P
PTS3-96-0508	P
TTH106-0508	T
TTH1-10-0508	T
TTH1-13-0508	T
TTH1-22-0508	T
TTH122-0508	T
TTH1-25-0508	T
TTH1-3-0508	T
TTH1-40-0508	T
TTH140-0508	T
TTH142-0508	T
TTH143-0508	T
TTH144-0508	T
TTH146-0508	T
TTH154-0508	T
TTH1-56-0508	T
TTH157-0508	T
TTH1-62-0508	T
TTH167-0508	T
TTH174-0508	T
TTH180-0508	T
TTH1-89-0508	T
TTH191-0508	T
TTH1-93-0508	T
TTH2-6-0508	T
TTR108-0508	T
NTH28-1116	N
NTH35-1116	N
NTH48-1116	N
NTH52-1116	N
NTR17-1116	N
PTH11-1116	P
PTH14-1116	P
PTH15-1116	P
PTH17-1116	P
PTH18-1116	P
PTH19-1116	P
PTH21-1116	P
PTH2-1116	P
PTH22-1116	P
PTH23-1116	P
PTH24-1116	P
PTH25-1116	P
PTH27-1116	P
PTH28-1116	P
PTH31-1116	P
PTH3-1116	P
PTH32-1116	P
PTH33-1116	P
PTH34-1116	P
PTH35-1116	P
PTH36-1116	P
PTH39-1116	P
PTH40-1116	P
PTH41-1116	P
PTH4-1116	P
PTH42-1116	P
PTH43-1116	P
PTH44-1116	P
PTH45-1116	P
PTH46-1116	P
PTH48-1116	P
PTH49-1116	P
PTH50-1116	P
PTH51-1116	P
PTH5-1116	P
PTH52-1116	P
PTH53-1116	P
PTH54-1116	P
PTH55-1116	P
PTH56-1116	P
PTH59-1116	P
PTH61-1116	P
PTH6-1116	P
PTH62-1116	P
PTH64-1116	P
PTH65-1116	P
PTH66-1116	P
PTH67-1116	P
PTH68-1116	P
PTH69-1116	P
PTH70-1116	P
PTH71-1116	P
PTH7-1116	P
PTH72-1116	P
PTH73-1116	P
PTH74-1116	P
PTH75-1116	P
PTH76-1116	P
PTH77-1116	P
PTH78-1116	P
PTH80-1116	P
PTH81-1116	P
PTH82-1116	P
PTH83-1116	P
PTH84-1116	P
PTH86-1116	P
PTH87-1116	P
PTH88-1116	P
PTH90-1116	P
PTH91-1116	P
PTH93-1116	P
PTH94-1116	P
PTH95-1116	P
PTR38-1116	P
PTR4-1116	P
PTR46-1116	P
PTR54-1116	P
PTR58-1116	P
PTR6-1116	P
PTR64-1116	P
PTR75-1116	P
PTR81-1116	P
PTR86-1116	P
PTR92-1116	P
TTH66-1116	T
PTH86-0205	P
PTS102-0205	P
PTS107-0205	P
PTS11-0205	P
PTS115-0205	P
PTS125-0205	P
PTS130-0205	P
PTS136-0205	P
PTS2-0205	P
PTS25-0205	P
PTS33-0205	P
PTS55-0205	P
PTS65-0205	P
PTS76-0205	P
PTS78-0205	P
PTS81-0205	P
PTS9-0205	P
PTS95-0205	P
PTH154-0322	P
PTR100-0322	P
PTR10-0322	P
PTR101-0322	P
PTR1-0322	P
PTR105-0322	P
PTR106-0322	P
PTR107-0322	P
PTR108-0322	P
PTR110-0322	P
PTR11-0322	P
PTR14-0322	P
PTR15-0322	P
PTR17-0322	P
PTR18-0322	P
PTR20-0322	P
PTR22-0322	P
PTR23-0322	P
PTR25-0322	P
PTR27-0322	P
PTR28-0322	P
PTR29-0322	P
PTR3-0322	P
PTR31-0322	P
PTR32-0322	P
PTR35-0322	P
PTR37-0322	P
PTR38-0322	P
PTR40-0322	P
PTR41-0322	P
PTR42-0322	P
PTR44-0322	P
PTR46-0322	P
PTR48-0322	P
PTR5-0322	P
PTR52-0322	P
PTR57-0322	P
PTR6-0322	P
PTR61-0322	P
PTR63-0322	P
PTR64-0322	P
PTR65-0322	P
PTR66-0322	P
PTR67-0322	P
PTR7-0322	P
PTR72-0322	P
PTR73-0322	P
PTR74-0322	P
PTR75-0322	P
PTR76-0322	P
PTR77-0322	P
PTR78-0322	P
PTR79-0322	P
PTR81-0322	P
PTR82-0322	P
PTR83-0322	P
PTR84-0322	P
PTR85-0322	P
PTR86-0322	P
PTR87-0322	P
PTR88-0322	P
PTR90-0322	P
PTR9-0322	P
PTR91-0322	P
PTR93-0322	P
PTR94-0322	P
PTR95-0322	P
PTR96-0322	P
PTR97-0322	P
PTR98-0322	P
TTH108-0322	T
TTH59-0322	T
TTR88-0322	T
NTH165-0407	N
NTH172-0407	N
NTR10-0407	N
NTR2-0407	N
NTR21-0407	N
NTR25-0407	N
NTR38-0407	N
NTR39-0407	N
NTR41-0407	N
NTR52-0407	N
NTR70-0407	N
NTR77-0407	N
NTR85-0407	N
NTR87-0407	N
PTH12-0407	P
PTH6-0407	P
PTR1-0407	P
PTR105-0407	P
PTR106-0407	P
PTR107-0407	P
PTR110-0407	P
PTR111-0407	P
PTR13-0407	P
PTR14-0407	P
PTR20-0407	P
PTR2-0407	P
PTR21-0407	P
PTR22-0407	P
PTR25-0407	P
PTR32-0407	P
PTR36-0407	P
PTR38-0407	P
PTR41-0407	P
PTR52-0407	P
PTR57-0407	P
PTR61-0407	P
PTR64-0407	P
PTR67-0407	P
PTR76-0407	P
PTR78-0407	P
PTR82-0407	P
PTR88-0407	P
PTR94-0407	P
PTR97-0407	P
TTH107-0407	T
TTR207-0407	T
TTR236-0407	T
PTH2-5-0508	P
PTH28-0508	P
PTH3-23-0508	P
PTH3-50-0508	P
PTR16-0508	P
PTS1-8-0508	P
PTS2-5-0508	P
PTS2-6-0508	P
PTS2-7-0508	P
PTS3-1-0508	P
PTS3-12-0508	P
PTS3-17-0508	P
PTS3-2-0508	P
PTS3-21-0508	P
PTS3-29-0508	P
PTS3-30-0508	P
PTS3-32-0508	P
PTS3-34-0508	P
PTS3-38-0508	P
PTS3-39-0508	P
PTS3-42-0508	P
PTS3-43-0508	P
PTS3-48-0508	P
PTS3-49-0508	P
PTS3-55-0508	P
PTS3-58-0508	P
PTS3-60-0508	P
PTS3-62-0508	P
PTS3-64-0508	P
PTS3-65-0508	P
PTS3-70-0508	P
PTS3-7-0508	P
PTS3-72-0508	P
PTS3-73-0508	P
PTS3-87-0508	P
PTS3-88-0508	P
PTS3-92-0508	P
TTR176-0508	T
TTS1-64-0508	T
TTS1-84-0508	T
NTH5-1116	N
NTR100-1116	N
NTR13-1116	N
NTR22-1116	N
NTR78-1116	N
NTR79-1116	N
NTR98-1116	N
PTH85-1116	P
PTR10-1116	P
PTR11-1116	P
PTR1-1116	P
PTR13-1116	P
PTR14-1116	P
PTR15-1116	P
PTR16-1116	P
PTR17-1116	P
PTR19-1116	P
PTR20-1116	P
PTR21-1116	P
PTR22-1116	P
PTR23-1116	P
PTR24-1116	P
PTR27-1116	P
PTR28-1116	P
PTR29-1116	P
PTR30-1116	P
PTR31-1116	P
PTR32-1116	P
PTR34-1116	P
PTR36-1116	P
PTR37-1116	P
PTR39-1116	P
PTR40-1116	P
PTR41-1116	P
PTR42-1116	P
PTR43-1116	P
PTR44-1116	P
PTR45-1116	P
PTR47-1116	P
PTR48-1116	P
PTR49-1116	P
PTR50-1116	P
PTR51-1116	P
PTR5-1116	P
PTR53-1116	P
PTR55-1116	P
PTR56-1116	P
PTR57-1116	P
PTR59-1116	P
PTR60-1116	P
PTR61-1116	P
PTR62-1116	P
PTR65-1116	P
PTR66-1116	P
PTR68-1116	P
PTR70-1116	P
PTR71-1116	P
PTR7-1116	P
PTR73-1116	P
PTR74-1116	P
PTR76-1116	P
PTR77-1116	P
PTR78-1116	P
PTR79-1116	P
PTR80-1116	P
PTR8-1116	P
PTR82-1116	P
PTR83-1116	P
PTR84-1116	P
PTR85-1116	P
PTR87-1116	P
PTR88-1116	P
PTR89-1116	P
PTR90-1116	P
PTR9-1116	P
PTR93-1116	P
PTR94-1116	P
PTR95-1116	P
PTR96-1116	P
TTR15-1116	T
TTR51-1116	T
TTR53-1116	T
TTR71-1116	T
TTS100-0205	T
TTS10-0205	T
TTS102-0205	T
TTS1-0205	T
TTS104-0205	T
TTS106-0205	T
TTS107-0205	T
TTS108-0205	T
TTS109-0205	T
TTS11-0205	T
TTS115-0205	T
TTS116-0205	T
TTS117-0205	T
TTS118-0205	T
TTS12-0205	T
TTS121-0205	T
TTS122-0205	T
TTS123-0205	T
TTS124-0205	T
TTS125-0205	T
TTS126-0205	T
TTS128-0205	T
TTS13-0205	T
TTS132-0205	T
TTS133-0205	T
TTS135-0205	T
TTS138-0205	T
TTS139-0205	T
TTS14-0205	T
TTS142-0205	T
TTS143-0205	T
TTS15-0205	T
TTS17-0205	T
TTS19-0205	T
TTS2-0205	T
TTS21-0205	T
TTS22-0205	T
TTS232-0205	T
TTS24-0205	T
TTS25-0205	T
TTS26-0205	T
TTS28-0205	T
TTS29-0205	T
TTS32-0205	T
TTS33-0205	T
TTS35-0205	T
TTS36-0205	T
TTS37-0205	T
TTS39-0205	T
TTS40-0205	T
TTS4-0205	T
TTS41-0205	T
TTS42-0205	T
TTS43-0205	T
TTS45-0205	T
TTS46-0205	T
TTS48-0205	T
TTS49-0205	T
TTS53-0205	T
TTS55-0205	T
TTS56-0205	T
TTS57-0205	T
TTS58-0205	T
TTS59-0205	T
TTS6-0205	T
TTS61-0205	T
TTS62-0205	T
TTS64-0205	T
TTS65-0205	T
TTS66-0205	T
TTS67-0205	T
TTS68-0205	T
TTS69-0205	T
TTS70-0205	T
TTS7-0205	T
TTS72-0205	T
TTS73-0205	T
TTS74-0205	T
TTS75-0205	T
TTS77-0205	T
TTS79-0205	T
TTS8-0205	T
TTS83-0205	T
TTS84-0205	T
TTS86-0205	T
TTS87-0205	T
TTS88-0205	T
TTS89-0205	T
TTS90-0205	T
TTS91-0205	T
TTS92-0205	T
TTS94-0205	T
TTS95-0205	T
TTS98-0205	T
TTS99-0205	T
NTH192-0322	N
PTR12-0322	P
TTH11-0322	T
TTR100-0322	T
TTR10-0322	T
TTR101-0322	T
TTR103-0322	T
TTR104-0322	T
TTR105-0322	T
TTR106-0322	T
TTR107-0322	T
TTR108-0322	T
TTR109-0322	T
TTR110-0322	T
TTR111-0322	T
TTR113-0322	T
TTR114-0322	T
TTR115-0322	T
TTR117-0322	T
TTR118-0322	T
TTR119-0322	T
TTR120-0322	T
TTR12-0322	T
TTR121-0322	T
TTR122-0322	T
TTR124-0322	T
TTR125-0322	T
TTR126-0322	T
TTR128-0322	T
TTR129-0322	T
TTR130-0322	T
TTR131-0322	T
TTR132-0322	T
TTR133-0322	T
TTR135-0322	T
TTR136-0322	T
TTR137-0322	T
TTR139-0322	T
TTR140-0322	T
TTR14-0322	T
TTR141-0322	T
TTR143-0322	T
TTR144-0322	T
TTR146-0322	T
TTR147-0322	T
TTR148-0322	T
TTR149-0322	T
TTR15-0322	T
TTR151-0322	T
TTR153-0322	T
TTR154-0322	T
TTR155-0322	T
TTR158-0322	T
TTR159-0322	T
TTR160-0322	T
TTR161-0322	T
TTR163-0322	T
TTR164-0322	T
TTR165-0322	T
TTR166-0322	T
TTR167-0322	T
TTR169-0322	T
TTR170-0322	T
TTR171-0322	T
TTR172-0322	T
TTR173-0322	T
TTR174-0322	T
TTR175-0322	T
TTR176-0322	T
TTR177-0322	T
TTR178-0322	T
TTR180-0322	T
TTR181-0322	T
TTR182-0322	T
TTR183-0322	T
TTR184-0322	T
TTR185-0322	T
TTR187-0322	T
TTR188-0322	T
TTR189-0322	T
TTR190-0322	T
TTR191-0322	T
TTR20-0322	T
TTR2-0322	T
TTR22-0322	T
TTR25-0322	T
TTR26-0322	T
TTR28-0322	T
TTR29-0322	T
TTR30-0322	T
TTR3-0322	T
TTR33-0322	T
TTR34-0322	T
TTR35-0322	T
TTR36-0322	T
TTR37-0322	T
TTR38-0322	T
TTR39-0322	T
TTR40-0322	T
TTR41-0322	T
TTR42-0322	T
TTR43-0322	T
TTR44-0322	T
TTR46-0322	T
TTR47-0322	T
TTR48-0322	T
